Date,Open,High,Low,Close,Volume,Market Cap
20-May-18,8246.99,8562.41,8205.24,8513.25,5191060000,1.40556E+11
19-May-18,8255.73,8372.06,8183.35,8247.18,4712400000,1.40689E+11
18-May-18,8091.83,8274.12,7974.82,8250.97,5764190000,1.37881E+11
17-May-18,8370.05,8445.54,8054.12,8094.32,5862530000,1.42608E+11
16-May-18,8504.41,8508.43,8175.49,8368.83,6760220000,1.44878E+11
15-May-18,8705.19,8836.19,8456.45,8510.38,6705710000,1.48283E+11
14-May-18,8713.1,8881.12,8367.97,8716.79,7364150000,1.48403E+11
13-May-18,8515.49,8773.55,8395.12,8723.94,5866380000,1.45022E+11
12-May-18,8441.44,8664.86,8223.5,8504.89,6821380000,1.43743E+11
11-May-18,9052.96,9052.96,8394.46,8441.49,8488520000,1.54142E+11
10-May-18,9325.96,9396.04,9040.52,9043.94,6906700000,1.58772E+11
9-May-18,9223.73,9374.76,9031.62,9325.18,7226890000,1.57013E+11
8-May-18,9380.87,9462.75,9127.77,9234.82,7415870000,1.59672E+11
7-May-18,9645.67,9665.85,9231.53,9373.01,7394020000,1.64161E+11
6-May-18,9845.31,9940.14,9465.25,9654.8,7222280000,1.67541E+11
5-May-18,9700.28,9964.5,9695.12,9858.15,7651940000,1.65055E+11
4-May-18,9695.5,9779.2,9585.96,9700.76,8217830000,1.64956E+11
3-May-18,9233.97,9798.33,9188.15,9743.86,10207300000,1.57087E+11
2-May-18,9104.6,9256.52,9015.14,9235.92,7558160000,1.54869E+11
1-May-18,9251.47,9255.88,8891.05,9119.01,7713020000,1.5735E+11
30-Apr-18,9426.11,9477.14,9166.81,9240.55,8673920000,1.60302E+11
29-Apr-18,9346.41,9531.49,9193.71,9419.08,8853000000,1.58928E+11
28-Apr-18,8939.27,9412.09,8931.99,9348.48,7805480000,1.51991E+11
27-Apr-18,9290.63,9375.47,8987.05,8987.05,7566290000,1.57948E+11
26-Apr-18,8867.32,9281.51,8727.09,9281.51,8970560000,1.50736E+11
25-Apr-18,9701.03,9745.32,8799.84,8845.74,11083100000,1.64893E+11
24-Apr-18,8934.34,9732.61,8927.83,9697.5,10678800000,1.51844E+11
23-Apr-18,8794.39,8958.55,8788.81,8930.88,6925190000,1.49448E+11
